Sample	SRA	BioProject	Location	Location_short	Latitude	Longitude	Plant	Organ material	Year	Season	Species
S1	SRR24918031	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Vladivostok (Gh)	43.192929	131.921064	Gh	Leaf	2022	Summer	V. amurensis
S2	SRR24918054	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Vladivostok (Gh)	43.192929	131.921064	Gh	Leaf	2022	Summer	V. amurensis
S3	SRR24917972	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Vladivostok (Gh)	43.192929	131.921064	Gh	Stem	2022	Summer	V. amurensis
S4	SRR24918002	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Vladivostok (Gh)	43.192929	131.921064	Gh	Stem	2022	Summer	V. amurensis
S5	SRR24917969	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-1	Leaf	2022	Summer	V. amurensis
S6	SRR24918027	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-1	Leaf	2022	Summer	V. amurensis
S7	SRR24918024	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-1	Stem	2022	Summer	V. amurensis
S8	SRR24917978	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-1	Stem	2022	Summer	V. amurensis
S9	SRR24917958	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-2	Leaf	2022	Summer	V. amurensis
S10	SRR24917956	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-2	Leaf	2022	Summer	V. amurensis
S11	SRR24918053	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-2	Stem	2022	Summer	V. amurensis
S12	SRR24918051	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-2	Stem	2022	Summer	V. amurensis
S13	SRR24918049	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	Ivanovka village (P-5)	43.975818	132.481537	P-5	Leaf	2022	Summer	V. amurensis
S14	SRR24918015	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	Ivanovka village (P-5)	43.975818	132.481537	P-5	Leaf	2022	Summer	V. amurensis
S15	SRR24918013	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	Ivanovka village (P-5)	43.975818	132.481537	P-5	Leaf	2022	Summer	V. amurensis
S16	SRR24918010	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	Ivanovka village (P-5)	43.975818	132.481537	P-5	Stem	2022	Summer	V. amurensis
S17	SRR24918042	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	Ivanovka village (P-5)	43.975818	132.481537	P-5	Stem	2022	Summer	V. amurensis
S18	SRR24918040	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	Ivanovka village (P-5)	43.975818	132.481537	P-5	Stem	2022	Summer	V. amurensis
S19	SRR24917976	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	Russky Island (P-3)	42.964116	131.881337	P-3	Leaf	2022	Summer	V. amurensis
S20	SRR24917974	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	Russky Island (P-3)	42.964116	131.881337	P-3	Leaf	2022	Summer	V. amurensis
S21	SRR24917955	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	Russky Island (P-3)	42.964116	131.881337	P-3	Leaf	2022	Summer	V. amurensis
S22	SRR24917953	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	Russky Island (P-3)	42.964116	131.881337	P-3	Stem	2022	Summer	V. amurensis
S23	SRR24917951	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	Russky Island (P-3)	42.964116	131.881337	P-3	Stem	2022	Summer	V. amurensis
S24	SRR24917949	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	Russky Island (P-3)	42.964116	131.881337	P-3	Stem	2022	Summer	V. amurensis
S25	SRR24918047	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	M	Leaf	2022	Summer	V. amurensis
S26	SRR24918044	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	M	Leaf	2022	Summer	V. amurensis
S27	SRR24917997	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	M	Leaf	2022	Summer	V. amurensis
S28	SRR24917995	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	M	Stem	2022	Summer	V. amurensis
S29	SRR24918006	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	M	Stem	2022	Summer	V. amurensis
S30	SRR24918004	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	M	Stem	2022	Summer	V. amurensis
S31	SRR24918001	PRJNA980748	The Verkhne-Ussuriysky Research Station (SSA) of the Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, the center of Primorsky Territory of the Russian Far East (44.034842, 134.202996)	The Verkhne-Ussuriysky Research Station (P-6)	44.034842	134.202996	P-6	Leaf	2022	Summer	V. amurensis
