Sample	SRA	BioProject	Location	Location_short	Latitude	Longitude	Plant	Organ material	Year	Season	Species
S1	SRR24918026	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Vladivostok (Gh)	43.192929	131.921064	Gh	Leaf	2022	Summer	V. amurensis
S2	SRR24918011	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Vladivostok (Gh)	43.192929	131.921064	Gh	Leaf	2022	Summer	V. amurensis
S3	SRR24918045	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Vladivostok (Gh)	43.192929	131.921064	Gh	Stem	2022	Summer	V. amurensis
S4	SRR24917999	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Vladivostok (Gh)	43.192929	131.921064	Gh	Stem	2022	Summer	V. amurensis
S5	SRR24918058	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-1	Leaf	2022	Summer	V. amurensis
S6	SRR24918030	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-1	Leaf	2022	Summer	V. amurensis
S7	SRR24917979	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-1	Stem	2022	Summer	V. amurensis
S8	SRR24917959	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-1	Stem	2022	Summer	V. amurensis
S9	SRR24917957	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-2	Leaf	2022	Summer	V. amurensis
S10	SRR24918055	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-2	Leaf	2022	Summer	V. amurensis
S11	SRR24918052	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-2	Stem	2022	Summer	V. amurensis
S12	SRR24918050	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	Vladivostok (P-1, P-2)	43.2242327	131.991123	P-2	Stem	2022	Summer	V. amurensis
